,0
0,TammyBaldwin
1,JohnBarrasso
2,MichaelF.Bennet
3,MarshaBlackburn
4,RichardBlumenthal
5,CoryA.Booker
6,JohnBoozman
7,MikeBraun
8,KatieBoydBritt
9,SherrodBrown
10,TedBudd
11,LaphonzaR.Butler
12,MariaCantwell
13,ShelleyMooreCapito
14,BenjaminL.Cardin
15,ThomasR.Carper
16,CaseyRobertP.Jr.
17,BillCassidy
18,SusanM.Collins
19,ChristopherA.Coons
20,JohnCornyn
21,MastoCatherineCortez
22,TomCotton
23,KevinCramer
24,MikeCrapo
25,TedCruz
26,SteveDaines
27,TammyDuckworth
28,RichardJ.Durbin
29,JoniErnst
30,JohnFetterman
31,DebFischer
32,KirstenE.Gillibrand
33,LindseyGraham
34,ChuckGrassley
35,BillHagerty
36,MargaretWoodHassan
37,JoshHawley
38,MartinHeinrich
39,JohnW.Hickenlooper
40,MazieK.Hirono
41,JohnHoeven
42,CindyHyde-Smith
43,RonJohnson
44,TimKaine
45,MarkKelly
46,JohnKennedy
47,KingAngusS.Jr.
48,AmyKlobuchar
49,JamesLankford
50,MikeLee
51,BenRayLuján
52,CynthiaM.Lummis
53,JoeIIIManchin
54,EdwardJ.Markey
55,RogerMarshall
56,MitchMcConnell
57,RobertMenendez
58,JeffMerkley
59,JerryMoran
60,MarkwayneMullin
61,LisaMurkowski
62,ChristopherMurphy
63,PattyMurray
64,JonOssoff
65,AlexPadilla
66,RandPaul
67,GaryC.Peters
68,JackReed
69,PeteRicketts
70,JamesE.Risch
71,MittRomney
72,JackyRosen
73,MikeRounds
74,MarcoRubio
75,BernardSanders
76,BrianSchatz
77,EricSchmitt
78,CharlesE.Schumer
79,RickScott
80,TimScott
81,JeanneShaheen
82,KyrstenSinema
83,TinaSmith
84,DebbieStabenow
85,DanSullivan
86,JonTester
87,JohnThune
88,ThomTillis
89,TommyTuberville
90,HollenChrisVan
91,J.D.Vance
92,MarkR.Warner
93,RaphaelG.Warnock
94,ElizabethWarren
95,PeterWelch
96,SheldonWhitehouse
97,RogerF.Wicker
98,RonWyden
99,ToddYoung
